Date,Session default channel group,Sessions,Total users,Ecommerce purchases,Purchase revenue
2025-04-24,Organic Search,1529,1322,12,11629.220000000001
2025-05-13,Organic Search,1529,1317,17,10926.2
2025-07-14,Cross-network,1529,1402,8,6294.99
2025-10-02,Organic Search,1528,1351,13,6878.804749999999
2025-01-31,Unassigned,1527,1347,26,14416.480000000001
2025-04-11,Organic Search,1527,1337,10,6794.370000000001
2025-03-11,Organic Search,1524,1263,8,6398.200000000001
2025-01-08,Paid Shopping,1523,1408,5,2444.38
2025-07-08,Cross-network,1523,1384,9,6835.629999999999
2025-06-17,Organic Social,1522,1473,3,1275.27
2025-01-20,Paid Social,1521,1372,1,1061.7
2025-03-09,Paid Search,1521,1333,25,19514.61
2025-01-15,Paid Social,1520,1481,0,0.0
2025-03-16,Organic Search,1519,1311,14,11235.969999999998
2025-06-03,Organic Search,1519,1290,12,6843.84
2025-09-08,Cross-network,1519,1450,13,6509.768048999999
2025-10-08,Unassigned,1519,1411,18,8071.400000000001
2025-06-02,Organic Search,1518,1307,14,8014.079999999998
2025-09-14,Organic Search,1518,1289,7,2954.8698059999997
2025-02-13,Affiliates,1517,1470,2,713.44
2025-04-30,Cross-network,1517,1348,12,8076.250000000001
2025-05-04,Organic Search,1514,1341,23,14476.220000000001
2025-08-16,Cross-network,1514,1411,24,18147.44
2025-01-12,Paid Shopping,1513,1432,1,1900.81
2025-04-03,Organic Search,1513,1329,17,19797.789999999997
2025-05-14,Organic Search,1513,1301,13,7162.58
2025-03-07,Organic Search,1512,1307,10,5410.179999999999
2025-05-10,Unassigned,1512,1229,44,17801.270000000004
2025-10-01,Organic Search,1512,1348,16,6264.746152
2025-01-28,Unassigned,1511,1319,23,14295.079999999998
2025-03-22,Unassigned,1511,1367,34,20003.11
2025-06-22,Organic Social,1511,1470,6,2943.7599999999998
2025-09-07,Organic Search,1511,1320,14,14260.213407
2025-02-05,Direct,1509,1257,24,19888.640000000007
2025-09-22,Organic Search,1509,1357,12,4147.020232999999
2025-01-16,Affiliates,1507,1440,1,107.91
2025-01-21,Organic Search,1503,1266,19,12433.35
2025-09-04,Cross-network,1502,1403,5,1805.5
2025-10-12,Organic Search,1501,1328,8,3428.083001
2025-02-25,Organic Search,1500,1286,10,4649.47
2025-02-02,Unassigned,1498,1368,27,13130.409999999998
2025-05-28,Organic Search,1494,1269,12,9333.539999999997
2025-09-08,Organic Search,1494,1318,4,3221.876405
2025-09-12,Cross-network,1493,1417,2,1363.4
2025-02-02,Direct,1492,1275,29,18393.850000000002
2025-03-29,Paid Search,1488,1263,21,11199.999999999998
2025-05-01,Paid Search,1485,1270,47,28927.320000000007
2025-09-26,Organic Search,1485,1324,11,6721.593183999999
2025-07-06,Organic Social,1484,1447,4,1644.1100000000001
2025-05-05,Unassigned,1483,1282,40,19775.159999999996
2025-04-24,Unassigned,1480,1305,37,9784.230000000001
2025-10-25,Organic Search,1480,1335,9,6609.815995999999
2025-01-30,Direct,1479,1223,27,16069.050000000001
2025-09-23,Organic Search,1479,1287,16,10523.777214000002
2025-02-18,Paid Search,1478,1230,22,11520.3
2025-03-26,Affiliates,1478,1456,2,823.4100000000001
2025-06-04,Organic Search,1477,1267,20,10879.559999999998
2025-01-22,Organic Search,1475,1262,16,10248.710000000003
2025-05-27,Direct,1475,1274,58,34626.320000000014
2025-07-06,Cross-network,1475,1351,11,15641.259999999998
2025-02-06,Direct,1474,1253,32,13628.300000000001
2025-02-23,Organic Search,1474,1253,14,4142.259999999999
2025-04-29,Direct,1474,1318,23,12888.929999999997
2025-07-06,Unassigned,1473,1251,17,9008.5
2025-09-06,Affiliates,1472,1464,1,31.2
2025-10-29,Unassigned,1471,1389,13,4782.143432
2025-11-02,Organic Social,1470,1445,4,1492.5
2025-02-10,Direct,1469,1240,29,17203.839999999997
2025-02-12,Direct,1469,1216,28,20124.52999999999
2025-05-02,Direct,1467,1325,30,16456.86
2025-09-24,Organic Search,1466,1303,14,10101.887760999998
2025-04-15,Unassigned,1465,1310,19,9655.94
2025-07-13,Cross-network,1464,1356,6,2441.0399999999995
2025-09-11,Cross-network,1464,1373,5,2033.15
2025-02-05,Unassigned,1463,1274,23,13427.98
2025-09-28,Organic Search,1463,1298,12,6162.877253000001
2025-10-11,Organic Search,1463,1300,11,6772.544107
2025-05-21,Direct,1462,1273,48,32119.450000000008
2025-06-30,Unassigned,1462,1235,23,8437.21
2025-01-29,Unassigned,1461,1266,24,15602.24
2025-05-22,Organic Search,1461,1247,20,10513.49
2025-02-10,Organic Search,1460,1232,9,3125.88
2025-07-05,Cross-network,1459,1337,10,4580.19
2025-05-03,Unassigned,1458,1273,22,13279.710000000001
2025-05-04,Cross-network,1458,1309,13,7389.11
2025-11-18,Affiliates,1458,1431,6,3816.45
2025-06-05,Paid Other,1457,1333,4,2244.42
2025-11-10,Paid Search,1455,1323,8,4005.0
2025-05-15,Organic Search,1454,1258,11,7050.36
2025-03-21,Organic Search,1453,1220,15,9669.99
2025-02-26,Paid Search,1450,1261,26,19857.18
2025-05-02,Organic Search,1448,1230,22,15769.630000000001
2025-05-19,Organic Search,1448,1254,13,5484.71
2025-04-03,Organic Social,1446,1420,3,1268.4
2025-05-08,Organic Search,1446,1220,12,15085.699999999995
2025-05-22,Cross-network,1446,1301,22,12961.389999999998
2025-02-15,Paid Search,1445,1219,23,11280.03
2025-07-21,Cross-network,1445,1320,9,4132.040000000001
2025-02-07,Direct,1444,1206,23,16152.280000000002
2025-03-08,Organic Search,1444,1239,16,12561.380000000001
2025-07-17,Unassigned,1444,1217,27,13665.299999999996
2025-08-06,Cross-network,1444,1352,8,4754.43
2025-10-29,Organic Social,1444,1433,1,404.1
2025-02-01,Direct,1443,1249,35,22913.42
2025-09-13,Organic Search,1443,1204,10,8888.680427
2025-05-23,Organic Search,1441,1205,22,12639.840000000002
2025-07-25,Unassigned,1441,1235,28,13607.269999999999
2025-08-30,Organic Search,1441,1264,21,14420.919453999999
2025-02-04,Direct,1440,1229,23,14907.970000000001
2025-07-27,Cross-network,1440,1362,6,1813.5199999999998
2025-10-15,Affiliates,1440,1427,5,2410.053263
2025-10-28,SMS,1439,1209,5,2053.198129
2025-11-11,Paid Search,1439,1320,7,6526.4
2025-10-17,Organic Search,1438,1254,11,7598.845705
2025-03-12,Organic Search,1437,1232,9,5257.13
2025-03-22,Organic Social,1437,1346,27,11712.580000000002
2025-09-16,Paid Other,1437,712,0,0.0
2025-02-20,Organic Search,1436,1197,14,7920.9400000000005
2025-11-11,Unassigned,1436,1356,15,9972.7
2025-03-13,Organic Search,1435,1173,13,10829.61
2025-06-24,Cross-network,1435,1320,12,6269.800000000001
2025-07-31,Cross-network,1431,1355,10,7953.750000000001
2025-08-05,Cross-network,1431,1334,3,986.0
2025-04-18,Organic Search,1430,1252,7,6391.9400000000005
2025-03-21,Organic Social,1428,1379,6,2209.5499999999997
2025-09-05,Unassigned,1428,1326,7,3104.9
2025-09-17,Cross-network,1427,1374,3,2182.6
2025-04-02,Organic Social,1426,1406,5,2355.0000000000005
2025-10-10,Organic Search,1426,1301,7,3743.477358
2025-11-14,Paid Search,1426,1295,31,13431.499999999998
2025-05-05,Cross-network,1425,1279,18,12877.79
2025-09-21,Organic Search,1424,1248,9,6824.5860250000005
2025-02-26,Organic Search,1423,1233,16,7136.469999999998
2025-07-28,Cross-network,1423,1347,6,3270.19
2025-09-15,Unassigned,1423,1317,15,9181.55
2025-09-17,Unassigned,1422,1314,11,12353.349999999999
2025-02-11,Direct,1419,1219,25,23903.269999999997
2025-04-04,Organic Search,1419,1231,10,7166.44
2025-04-27,Organic Search,1418,1216,24,13849.08
2025-05-11,Direct,1418,1237,31,19391.969999999998
2025-10-31,Organic Search,1417,1255,11,3791.696639
2025-09-05,Cross-network,1416,1332,2,108.65
2025-05-29,Organic Search,1415,1203,5,2572.6200000000003
2025-10-05,Organic Search,1415,1273,9,4643.164812999999
2025-10-28,Cross-network,1415,1353,10,10515.25
2025-02-03,Direct,1413,1214,21,13290.09
2025-03-28,Organic Search,1413,1204,10,6359.84
2025-06-21,Cross-network,1413,1301,4,2320.62
2025-02-17,Organic Search,1412,1195,21,14743.830000000002
2025-04-30,Unassigned,1412,1216,20,11048.029999999999
2025-05-25,Organic Search,1412,1221,45,22157.160000000003
2025-08-21,Direct,1412,1248,43,28935.579999999998
2025-10-28,Organic Social,1412,1393,2,794.2
2025-08-20,Cross-network,1408,1314,17,9448.919999999998
2025-03-02,Organic Search,1407,1204,11,7289.880000000001
2025-10-11,Cross-network,1407,1347,5,3076.8
2025-11-19,Paid Search,1404,1324,17,13874.3
2025-11-17,Paid Search,1401,1286,23,16905.45
2025-04-10,Affiliates,1400,1360,1,341.58
2025-03-29,Organic Search,1398,1202,15,8605.939999999999
2025-03-30,Organic Search,1397,1223,13,5942.24
2025-10-18,Unassigned,1397,1308,16,12449.75
2025-10-19,Organic Search,1397,1238,14,5934.720775
2025-05-20,Direct,1394,1205,24,12441.060000000001
2025-06-28,Affiliates,1394,1250,1,409.51
2025-05-15,Direct,1393,1248,18,12634.349999999999
2025-07-14,Organic Social,1391,1362,2,526.97
2025-03-03,Paid Search,1390,1195,15,7770.450000000001
2025-06-12,Unassigned,1390,1208,21,11342.820000000002
2025-02-24,Paid Search,1389,1173,27,15191.300000000003
2025-11-05,Cross-network,1388,1323,3,1046.491212
2025-05-16,Unassigned,1387,1204,26,15049.289999999999
2025-07-15,Organic Social,1387,1348,3,912.83
2025-10-03,Organic Search,1387,1238,12,5294.118941
2025-03-22,Organic Search,1386,1196,20,9919.039999999999
2025-10-07,Unassigned,1385,1264,14,7025.5
2025-11-01,SMS,1384,1170,12,6632.45
2025-02-27,Organic Search,1382,1173,13,5579.0599999999995
2025-06-20,Cross-network,1381,1282,16,9251.66
2025-06-21,Organic Social,1380,1345,8,3475.4300000000003
2025-02-18,Organic Search,1379,1190,21,10129.32
2025-10-25,Organic Social,1379,1358,4,2060.1
2025-04-05,Organic Search,1378,1175,10,4629.69
2025-07-19,Cross-network,1377,1270,6,4121.240000000001
2025-10-24,Unassigned,1377,1270,10,11154.85
2025-09-05,Organic Search,1376,1201,16,8794.366164
2025-05-21,Paid Search,1375,1159,43,18696.649999999998
2025-05-25,Paid Search,1375,1148,65,32271.79999999999
2025-05-24,Paid Social,1374,1329,4,2772.04
2025-05-04,Affiliates,1373,1306,15,5850.5
2025-07-04,Cross-network,1373,1255,11,7938.089999999999
2025-07-20,Cross-network,1372,1255,10,5648.459999999999
2025-04-20,Organic Search,1371,1210,11,7005.16
2025-09-27,Organic Search,1371,1220,8,4862.95
2025-06-01,Unassigned,1370,1305,19,9872.319999999998
2025-07-02,Cross-network,1370,1261,7,3927.96
2025-08-02,Cross-network,1370,1279,4,2352.79
2025-05-09,Organic Search,1369,1173,17,12524.75
2025-06-06,Unassigned,1368,1182,30,15869.480000000001
2025-06-22,Cross-network,1368,1250,10,4608.139999999999
2025-07-03,Cross-network,1367,1261,7,2858.87
2025-08-06,Unassigned,1367,1204,16,9302.489999999998
2025-01-18,Paid Social,1366,1261,0,0.0
2025-05-01,Cross-network,1366,1210,19,11135.08
2025-07-09,Cross-network,1365,1247,12,6699.97
2025-10-29,Cross-network,1364,1319,6,4646.65
2025-06-26,Cross-network,1362,1243,7,3786.08
2025-06-27,Cross-network,1362,1260,7,4226.05
2025-07-18,Organic Social,1362,1320,3,903.6600000000001
2025-02-12,Organic Search,1361,1168,14,7870.67
2025-09-13,Paid Other,1360,709,0,0.0
2025-06-25,Cross-network,1359,1234,5,2629.8199999999997
2025-02-09,Direct,1358,1164,28,17071.73
2025-03-01,Paid Search,1357,1120,23,17994.93
2025-02-11,Organic Search,1356,1181,17,7295.700000000001
2025-02-27,Paid Search,1356,1146,31,19781.840000000004
2025-04-19,Organic Search,1356,1189,13,7990.020000000001
2025-06-11,Organic Search,1356,1148,7,5088.95
2025-04-27,Direct,1354,1228,32,15566.57
2025-09-19,Organic Search,1354,1161,6,2069.8
2025-02-08,Direct,1353,1155,21,8263.44
2025-04-12,Organic Search,1349,1198,13,9679.75
2025-10-04,Organic Search,1348,1205,11,9100.826911
2025-01-17,Paid Social,1347,1259,0,0.0
2025-04-25,Direct,1347,1223,18,9174.84
2025-05-26,SMS,1347,1071,96,57849.58
2025-02-13,Organic Search,1346,1118,15,6672.530000000001
2025-09-21,Organic Social,1346,1327,1,1079.1
2025-02-22,Paid Search,1345,1128,28,15483.35
2025-03-14,Organic Search,1345,1157,14,10301.1
2025-01-27,Organic Search,1344,1132,11,7700.51
2025-06-23,Organic Social,1344,1312,4,1314.76
2025-01-08,Paid Social,1343,1299,1,1644.0
2025-08-14,Unassigned,1343,1179,41,18438.880000000005
2025-04-06,Organic Search,1342,1176,8,3585.9900000000002
2025-05-11,Unassigned,1342,1144,47,20909.75
2025-06-20,Organic Social,1342,1302,8,3323.38
2025-04-29,Unassigned,1341,1181,29,23690.39
2025-06-02,Direct,1341,1148,29,13640.919999999998
2025-08-15,Unassigned,1341,1185,52,24404.8
2025-07-26,Unassigned,1339,1161,19,8291.109999999999
2025-01-30,Unassigned,1338,1149,16,8671.5
2025-04-23,Unassigned,1338,1176,19,12271.779999999999
2025-01-28,Organic Search,1337,1138,17,14823.72
2025-11-15,SMS,1336,1082,39,27276.0
2025-03-23,Direct,1335,1160,61,33050.02000000001
2025-04-12,Unassigned,1335,1176,30,12569.009999999997
2025-01-23,Organic Search,1334,1136,13,9234.59
2025-04-29,Cross-network,1333,1198,19,13909.189999999999
2025-05-04,Unassigned,1333,1191,42,21390.119999999995
2025-08-17,Organic Social,1333,1290,8,2674.46
2025-01-26,Organic Search,1330,1112,20,14082.84
2025-02-14,Paid Search,1330,1115,24,15298.41
2025-03-15,Organic Search,1330,1152,9,7378.09
2025-07-01,Cross-network,1330,1209,4,2237.52
2025-02-21,Organic Search,1329,1107,6,2432.14
2025-03-29,Cross-network,1329,1228,10,4880.96
2025-06-30,Cross-network,1329,1233,8,7056.360000000001
2025-02-04,Organic Search,1328,1111,19,11462.87
2025-02-19,Direct,1328,1133,12,6589.0199999999995
2025-07-23,Cross-network,1327,1242,6,4964.56
2025-10-15,Cross-network,1327,1285,4,3142.2
2025-06-04,SMS,1326,1036,43,17414.210000000003
2025-02-16,Organic Search,1325,1122,18,12265.63
2025-04-11,Unassigned,1324,1180,14,7865.22
2025-03-25,Unassigned,1319,1155,16,8628.1
2025-02-23,Paid Search,1316,1123,28,15245.310000000001
2025-04-26,Unassigned,1316,1218,17,8121.48
2025-05-18,Direct,1315,1160,18,10153.010000000002
2025-01-25,Organic Search,1313,1077,17,15911.549999999997
2025-03-31,Paid Search,1313,1127,20,13101.290000000003
2025-05-17,Unassigned,1313,1150,21,11301.67
2025-01-07,Paid Social,1312,1254,1,381.65
2025-06-25,Organic Social,1312,1273,1,499.04
2025-02-06,Organic Search,1311,1108,18,10592.150000000001
2025-02-28,Organic Search,1311,1089,8,3934.29
2025-07-14,Unassigned,1311,1129,24,11530.539999999999
2025-08-07,Cross-network,1311,1235,3,1895.83
2025-01-21,Affiliates,1309,1255,0,0.0
2025-07-18,Cross-network,1309,1230,7,7140.460000000001
2025-11-01,Organic Social,1309,1283,1,349.0
2025-11-08,Cross-network,1309,1239,7,4631.3
2025-07-30,Organic Search,1306,1144,4,3557.86
2025-02-22,Organic Search,1305,1113,18,7377.82
2025-05-13,Direct,1305,1116,7,2261.67
2025-03-17,Direct,1304,1106,15,11345.570000000002
2025-04-15,Paid Search,1304,1116,11,7519.589999999999
2025-10-30,Cross-network,1303,1265,3,3056.1
2025-03-30,Cross-network,1300,1209,9,3242.2400000000002
2025-09-06,Organic Search,1300,1153,12,4395.4
2025-02-13,Direct,1299,1064,27,22630.680000000004
2025-06-27,Unassigned,1299,1114,25,11583.490000000003
2025-11-06,Organic Social,1299,1284,4,1327.6
2025-02-21,Direct,1298,1096,25,18185.839999999997
2025-03-09,Organic Search,1298,1121,16,16540.32
2025-08-08,Cross-network,1298,1233,4,3362.63
2025-10-12,Cross-network,1297,1248,5,2503.8
2025-05-04,Paid Search,1296,1066,49,31143.809999999994
2025-07-09,Organic Social,1296,1267,3,1381.3700000000001
2025-02-24,Direct,1294,1110,20,13870.53
2025-02-26,Direct,1293,1071,23,16735.26
2025-04-26,Direct,1293,1162,19,13029.85
2025-06-03,Direct,1293,1121,12,9845.19
2025-05-11,Organic Search,1292,1104,26,16268.43
2025-02-07,Paid Social,1289,1265,1,762.14
2025-02-20,Direct,1289,1081,24,14615.519999999995
2025-03-01,Organic Search,1286,1093,12,5882.25
2025-04-25,Organic Search,1286,1118,13,8904.38
2025-06-29,Organic Social,1286,1250,8,2694.0799999999995
2025-09-06,Paid Other,1286,811,0,0.0
2025-02-28,Paid Search,1284,1104,30,22345.329999999998
2025-03-10,Direct,1284,1097,19,12859.890000000003
2025-05-02,Cross-network,1284,1144,21,12447.280000000002
2025-06-23,Cross-network,1284,1179,10,5291.699999999999
2025-06-13,Unassigned,1283,1088,9,9420.089999999998
2025-01-24,Organic Search,1280,1108,15,10139.86
2025-04-13,Unassigned,1280,1150,21,11736.710000000006
2025-01-18,Affiliates,1279,1195,2,792.66
2025-03-21,Unassigned,1279,1122,22,13110.5
2025-05-03,Organic Search,1277,1116,18,9015.060000000001
2025-06-05,Organic Search,1277,1105,9,8037.66
2025-11-01,Cross-network,1277,1219,5,5007.2
2025-11-09,Paid Search,1277,1165,14,7768.849999999999
2025-03-02,Direct,1276,1091,24,14191.35
2025-03-04,Direct,1275,1094,15,12241.009999999998
2025-02-05,Organic Search,1272,1094,14,8901.989999999998
2025-01-30,Organic Search,1267,1077,18,8424.159999999998
2025-11-03,Unassigned,1267,1166,15,9369.514347
2025-07-13,Organic Social,1266,1229,10,4280.84
2025-03-11,Paid Search,1264,1044,22,11128.330000000002
2025-05-16,Organic Search,1264,1076,9,7290.81
2025-10-16,Unassigned,1264,1153,12,5353.75
2025-08-22,Cross-network,1263,1182,10,8950.130000000001
2025-02-17,Direct,1262,1087,27,22229.210000000003
2025-02-08,Organic Search,1258,1062,15,7158.92
2025-02-09,Organic Search,1258,1054,17,10622.760000000002
2025-02-16,Direct,1258,1068,29,18030.809999999998
2025-05-18,Organic Search,1256,1083,10,4849.55
2025-04-24,Direct,1255,1132,17,8025.409999999998
2025-08-09,Cross-network,1255,1168,3,1971.0699999999997
2025-07-01,Organic Social,1254,1224,2,880.82
2025-01-10,Paid Shopping,1253,1178,3,956.65
2025-02-18,Direct,1253,1053,25,16916.04
2025-03-05,Direct,1253,1066,18,12311.929999999998
2025-09-22,Unassigned,1252,1166,15,5069.95
2025-11-02,Unassigned,1252,1159,21,9448.167061
2025-02-07,Organic Search,1251,1057,10,5614.9400000000005
2025-07-11,Direct,1251,1123,89,3152.69
2025-11-03,Cross-network,1251,1214,6,6474.0
2025-02-03,Organic Search,1250,1051,21,11957.08
2025-07-17,Cross-network,1250,1159,9,5398.5599999999995
2025-10-28,Unassigned,1250,1165,12,7885.9
2025-07-03,Organic Social,1249,1218,2,920.94
2025-08-25,Unassigned,1245,1104,36,23495.9
2025-10-13,SMS,1244,1033,7,4901.950000000001
2025-01-16,Paid Social,1242,1145,2,987.13
2025-05-16,Direct,1240,1123,15,8226.15
2025-06-26,Organic Social,1239,1195,4,1696.48
2025-01-31,Organic Search,1238,1029,18,11297.199999999999
2025-05-12,Unassigned,1236,1051,14,8271.17
2025-07-24,Unassigned,1236,1086,17,9201.09
2025-01-29,Organic Search,1235,1050,17,8071.93
2025-10-27,Cross-network,1234,1181,4,3100.25
2025-06-24,Organic Social,1233,1202,2,496.79999999999995
2025-05-17,Direct,1232,1087,14,8684.919999999998
2025-09-15,Paid Other,1232,612,1,1099.0
2025-06-15,Unassigned,1231,1062,27,14004.909999999998
2025-08-11,Cross-network,1231,1121,6,5414.72
2025-07-07,Organic Social,1230,1177,4,2704.48
2025-11-04,Organic Social,1230,1207,1,339.15
2025-05-13,Unassigned,1228,1019,21,16821.31
2025-05-24,Organic Search,1228,1048,27,18122.54
2025-06-16,Organic Search,1228,1059,13,7231.349999999999
2025-07-10,Cross-network,1228,1102,5,5869.16
2025-09-20,Organic Search,1226,1070,4,1275.5
2025-07-16,Organic Social,1225,1185,3,1200.26
2025-10-17,Unassigned,1224,1130,9,4654.3
2025-05-30,Organic Search,1223,1033,7,5532.42
2025-06-12,Organic Search,1223,1023,6,4765.02
2025-03-14,Paid Search,1222,1031,18,17375.56
2025-03-16,Paid Search,1222,1025,32,20769.73
2025-09-09,Cross-network,1222,1151,2,1570.6
2025-08-02,Organic Social,1221,1165,4,2537.2200000000003
2025-07-22,Cross-network,1220,1128,8,6036.92
2025-10-18,Organic Search,1220,1074,10,4300.496532
2025-06-30,Organic Social,1219,1187,9,3030.3700000000003
2025-05-02,Paid Search,1218,1036,43,24466.670000000006
2025-07-20,Organic Social,1217,1183,4,1262.4800000000002
2025-11-03,Organic Social,1216,1203,6,2458.0
2025-04-10,Direct,1215,1083,16,10846.08
2025-08-03,Organic Social,1215,1160,2,592.56
2025-11-04,Cross-network,1215,1168,6,3438.55
2025-03-27,Affiliates,1214,1172,5,2983.4599999999996
2025-05-17,Affiliates,1214,1177,4,1556.1999999999998
2025-07-11,Cross-network,1214,1095,9,5219.2
2025-09-14,Paid Other,1214,613,0,0.0
2025-03-17,Paid Search,1213,1035,26,18047.190000000002
2025-04-29,Paid Search,1213,1033,38,24416.420000000002
2025-09-22,Cross-network,1213,1169,11,7344.85
2025-05-25,Paid Social,1212,1175,2,442.11
2025-08-20,Direct,1212,1065,61,19969.979999999996
2025-07-27,Organic Social,1211,1170,12,7851.469999999999
2025-07-30,Direct,1211,1067,15,5071.46
2025-09-24,Unassigned,1211,1137,12,6448.35
2025-03-15,Paid Search,1210,994,20,11232.14
2025-05-03,Paid Search,1210,1000,49,27104.84
2025-10-14,Cross-network,1210,1163,2,517.0
2025-01-09,Paid Shopping,1208,1116,1,825.0
2025-03-24,Direct,1208,1022,22,15454.380000000003
2025-04-07,Unassigned,1208,1026,27,14724.75
2025-06-08,Organic Search,1208,1043,19,7807.070000000001
2025-08-10,Organic Social,1207,1167,9,2645.62
2025-07-26,Cross-network,1206,1140,3,2732.76
2025-02-19,Paid Social,1205,1177,0,0.0
2025-04-09,Unassigned,1205,1049,10,4621.650000000001
2025-06-25,Unassigned,1202,1047,34,12084.160000000002
2025-03-21,Direct,1201,1073,24,14063.039999999999
2025-07-15,Paid Search,1201,1119,12,6043.05
2025-08-15,SMS,1201,936,11,7611.160000000002
2025-10-13,Cross-network,1201,1149,4,2761.2
2025-02-14,Organic Search,1199,1017,12,10264.19
2025-02-15,Organic Search,1199,1032,16,5594.05
2025-05-05,Paid Search,1199,1006,39,27906.64
2025-06-08,Organic Social,1199,1141,15,7581.17
2025-03-19,Paid Search,1198,1000,23,17736.45
2025-02-25,Direct,1196,1020,18,9915.49
2025-10-16,Cross-network,1196,1142,1,89.1
2025-05-21,Cross-network,1194,1058,22,8588.11
2025-06-07,Unassigned,1192,1021,27,13546.180000000002
2025-02-14,Affiliates,1188,1139,6,3886.67
2025-04-26,Organic Search,1187,1057,9,6243.12
2025-03-12,Direct,1186,1021,20,13167.49
2025-01-27,Affiliates,1185,1122,6,1047.47
2025-05-19,Unassigned,1184,1016,16,7144.16
2025-06-06,Organic Search,1183,1007,8,5295.9800000000005
2025-08-10,Unassigned,1183,1060,21,14494.009999999998
2025-08-14,Organic Social,1183,1149,12,3336.34
2025-02-02,Organic Search,1181,1052,13,6501.77
2025-02-14,Direct,1179,1019,19,11986.7
2025-05-06,Paid Search,1178,953,29,14104.619999999999
2025-05-18,Unassigned,1178,1044,22,12225.419999999998
2025-06-30,Organic Search,1178,992,10,4797.280000000002
2025-07-31,Direct,1178,1048,15,7686.33
2025-06-01,Organic Search,1177,1023,13,9353.529999999999
2025-06-11,Unassigned,1177,989,20,12295.82
2025-04-05,Unassigned,1176,1015,15,8365.679999999998
2025-10-23,Unassigned,1176,1116,12,8507.36
2025-10-26,Cross-network,1176,1130,5,2594.8
2025-05-26,Paid Search,1175,965,69,38703.3
2025-07-31,Organic Search,1174,990,12,7019.01
2025-07-04,Organic Social,1173,1134,3,1436.13
2025-07-08,Organic Search,1172,1003,10,6196.35
2025-10-25,Cross-network,1171,1113,7,4560.3
2025-08-18,Direct,1170,1026,57,33466.637799000004
2025-08-24,Organic Social,1168,1136,6,3426.21
2025-03-22,Direct,1167,1005,26,14769.120000000003
2025-08-11,Organic Social,1167,1105,5,1383.9099999999999
2025-03-13,Paid Search,1166,976,10,8134.47
2025-03-23,Paid Search,1166,994,55,29314.41000000001
2025-01-26,Cross-network,1165,1017,13,13579.04
2025-01-05,Organic Shopping,1164,1077,2,159.0
2025-05-12,Cross-network,1164,996,11,10087.92
2025-03-19,Direct,1163,1021,20,14753.489999999998
2025-06-09,Direct,1163,991,33,22689.809999999998
2025-01-04,Paid Social,1162,1113,0,0.0
2025-08-27,SMS,1162,885,36,20475.6
2025-03-12,Paid Search,1161,992,23,15008.429999999997
2025-04-06,Affiliates,1161,1091,8,1600.5500000000002
2025-07-21,Organic Social,1161,1133,3,1265.81
2025-10-02,Organic Social,1161,1149,2,945.75
2025-04-04,Direct,1159,1001,15,8774.95
2025-07-08,Organic Social,1157,1124,4,1769.51
2025-07-09,Organic Search,1157,1003,5,3488.2200000000003
2025-11-12,Paid Search,1157,1014,16,10510.3
2025-04-08,Paid Search,1156,975,18,11235.110000000002
2025-05-07,Cross-network,1156,1013,14,9725.460000000001
2025-08-16,Organic Social,1156,1125,12,5200.07
2025-04-29,Affiliates,1155,1122,8,4691.950000000001
2025-05-04,Paid Social,1153,1125,3,1446.24
2025-03-02,Cross-network,1152,1031,12,8333.289999999999
2025-03-30,Paid Search,1152,987,22,13764.939999999997
2025-07-17,Organic Social,1152,1120,2,439.52
2025-02-15,Direct,1151,989,15,7296.740000000001
2025-07-02,Organic Social,1151,1116,3,744.01
2025-03-25,Direct,1150,982,19,7807.93
2025-05-14,Unassigned,1150,973,20,11052.359999999999
2025-05-18,Affiliates,1150,1123,2,1235.3200000000002
2025-01-02,Organic Shopping,1149,1040,4,1579.6000000000001
2025-06-17,Affiliates,1149,1116,4,1549.74
2025-07-29,Unassigned,1149,1038,26,14255.179999999998
2025-08-22,Unassigned,1149,1003,37,27510.261975
2025-07-19,Organic Social,1148,1123,4,2254.82
2025-07-29,Direct,1148,1027,6,2092.62
2025-08-18,Organic Search,1148,974,21,12224.44
2025-05-11,Cross-network,1146,1016,15,9251.26
2025-07-10,Affiliates,1145,1108,4,2323.53
2025-05-10,Organic Search,1144,990,19,10983.890000000001
2025-03-03,Direct,1143,980,19,11621.320000000002
2025-07-31,Organic Social,1143,1085,7,2875.06
2025-03-31,Direct,1142,989,19,11417.07
2025-08-01,Organic Social,1141,1093,3,1666.76
2025-08-04,Organic Search,1141,976,15,8196.29
2025-10-10,Unassigned,1141,1064,9,7529.5279869999995
2025-02-23,Direct,1140,975,19,13437.039999999997
2025-04-09,Direct,1139,984,15,7752.540000000001
2025-08-07,Unassigned,1139,1011,20,8769.79
2025-10-01,Unassigned,1139,1044,21,9608.693354
2025-09-16,Cross-network,1138,1089,7,2258.0
2025-10-21,SMS,1138,926,8,4651.35
2025-03-06,Direct,1137,999,15,17163.17
2025-04-02,Paid Search,1137,984,15,9980.960000000001
2025-05-02,Affiliates,1137,1088,9,2425.3700000000003
2025-06-14,Unassigned,1137,983,13,7480.85
2025-07-15,Organic Search,1137,989,2,1581.93
2025-11-08,Organic Social,1137,1123,2,1773.0
2025-06-17,Organic Search,1136,964,7,6196.110000000001
2025-06-27,Organic Social,1135,1104,5,2792.88
2025-03-20,Paid Search,1134,953,15,10522.650000000001
