Date,Session default channel group,Sessions,Total users,Ecommerce purchases,Purchase revenue
2025-12-11,Referral,960,895,14,6895.3
2025-12-02,Referral,928,847,13,8963.65
2025-12-03,Paid Shopping,897,843,17,10776.499999999998
2025-12-07,Referral,897,842,10,7775.599999999999
2025-12-04,Referral,881,832,12,6944.5
2025-12-02,SMS,876,726,27,20886.3
2025-12-06,Referral,859,809,12,10831.3
2025-12-05,Paid Shopping,834,802,14,6039.65
2025-12-13,Paid Other,832,753,0,0.0
2025-12-03,Affiliates,717,692,5,2458.1999999999994
2025-12-03,Referral,711,629,8,3271.7
2025-12-08,Affiliates,673,651,7,1885.15
2025-12-06,SMS,668,571,17,14249.05
2025-12-10,Affiliates,655,630,9,4013.2
2025-12-12,Affiliates,640,626,8,4537.85
2025-12-07,SMS,623,537,20,15110.65
2025-12-09,Affiliates,565,536,5,3097.8
2025-12-06,Affiliates,555,548,8,3647.2
2025-12-04,SMS,553,491,14,11279.65
2025-12-13,Organic Search,541,513,10,2749.798779
2025-12-05,Paid Social,512,493,2,609.5999999999999
2025-12-07,Paid Social,505,501,2,1545.2
2025-12-07,Affiliates,501,486,5,3918.45
2025-12-10,SMS,468,400,10,4228.799999999999
2025-12-11,Paid Social,454,446,1,319.2
2025-12-06,Paid Social,431,424,1,55.2
2025-12-05,SMS,414,362,16,9568.65
2025-12-04,Affiliates,411,394,3,1333.9
2025-12-03,SMS,403,348,12,5946.6
2025-12-08,Paid Social,399,388,1,366.0
2025-12-05,Affiliates,393,381,5,1787.0
2025-12-04,Paid Social,389,376,1,279.2
2025-12-12,SMS,370,305,26,14530.276467
2025-12-12,Paid Social,357,347,0,0.0
2025-12-08,SMS,351,301,10,5709.315076999999
2025-12-11,SMS,336,284,13,7669.75
2025-12-09,Paid Social,319,310,0,0.0
2025-12-10,Paid Social,298,285,5,1569.6
2025-12-01,Organic Shopping,280,244,19,9868.249999999998
2025-12-13,Paid Search,246,242,8,3930.25
2025-12-02,Organic Shopping,244,217,12,6669.949999999999
2025-12-03,Paid Social,234,222,1,279.2
2025-12-07,Organic Shopping,217,196,4,2271.4
2025-12-11,Organic Shopping,204,169,5,3226.45
2025-12-08,Organic Shopping,201,175,6,2098.85
2025-12-09,Organic Shopping,200,170,7,2242.6000000000004
2025-12-01,Organic Video,198,180,0,0.0
2025-12-10,Organic Shopping,198,176,7,1902.5499999999995
2025-12-02,Organic Video,182,166,1,359.2
2025-12-02,Paid Social,177,160,1,630.4
2025-12-12,Organic Shopping,177,155,9,3967.1
2025-12-03,Organic Shopping,176,148,4,4923.8
2025-12-06,Organic Shopping,170,149,6,4240.95
2025-12-04,Organic Shopping,146,123,5,2246.8
2025-12-13,Paid Shopping,144,142,3,1757.55
2025-12-01,Paid Social,143,134,0,0.0
2025-12-05,Organic Shopping,141,129,5,3415.4
2025-12-13,Referral,123,119,2,840.672049
2025-12-03,Organic Video,120,115,0,0.0
2025-12-13,Affiliates,87,85,1,359.2
2025-12-05,Organic Video,77,69,1,1099.2
2025-12-04,Organic Video,74,70,0,0.0
2025-12-06,Organic Video,71,67,1,580.1
2025-12-04,Email,67,65,0,0.0
2025-12-13,Paid Social,57,57,0,0.0
2025-12-08,Organic Video,52,50,0,0.0
2025-12-09,Organic Video,51,50,0,0.0
2025-12-07,Organic Video,48,48,0,0.0
2025-12-12,Organic Video,47,40,0,0.0
2025-12-10,Organic Video,44,44,0,0.0
2025-12-11,Organic Video,42,39,0,0.0
2025-12-02,Email,36,36,0,0.0
2025-12-03,Email,33,31,0,0.0
2025-12-08,Email,32,26,2,1006.2
2025-12-11,Email,32,25,0,0.0
2025-12-12,Email,30,22,0,0.0
2025-12-10,Email,29,28,2,2290.15
2025-12-07,Email,25,23,0,0.0
2025-12-13,SMS,25,24,0,0.0
2025-12-09,Email,18,15,0,0.0
2025-12-13,Organic Shopping,18,15,0,0.0
2025-12-05,Email,16,16,0,0.0
2025-12-06,Email,15,13,0,0.0
2025-12-01,Email,14,13,0,0.0
2025-12-13,Organic Video,14,14,0,0.0
2025-12-13,Email,2,2,0,0.0
